StartFrame,EndFrame,Verb,Verb_class,Noun,Noun_class,ActionLabel,ActionName
16,126,open,2,door,8,0,open door
195,352,close,3,door,8,1,close door
292,362,switch-on,12,light,113,2,switch-on light
394,505,adjust,17,light,113,3,adjust light
696,787,open,2,fridge,10,4,open fridge
814,873,take,0,milk:soy,43,5,take milk:soy
891,940,take,0,container,29,6,take container
1012,1078,put-back,1,container,29,7,put-back container
1112,1155,take,0,container,29,6,take container
1180,1351,close,3,fridge,10,8,close fridge
1486,1555,put-down,1,container,29,7,put-down container
1495,1552,put-down,1,milk:soy,43,9,put-down milk:soy
1641,1738,take,0,cloth:table,32,10,take cloth:table
1828,2003,move,9,bottle,28,11,move bottle
1978,2067,move,9,glass,16,12,move glass
2144,2342,unfold,80,tablecloth,153,13,unfold tablecloth
2285,2545,pull-down,0,tablecloth,153,14,pull-down tablecloth
2740,2862,open,2,cupboard,8,0,open cupboard
2881,2955,take,0,cup,23,15,take cup
3045,3096,put-down,1,cup,23,16,put-down cup
3102,3177,take,0,milk:soy,43,5,take milk:soy
3183,3343,shake,14,milk:soy,43,17,shake milk:soy
3340,3457,open,2,milk:soy,43,18,open milk:soy
3472,3886,pour,7,milk:soy,43,19,pour milk:soy
3892,3988,close,3,milk:soy,43,20,close milk:soy
4175,4270,open,2,fridge,10,4,open fridge
4276,4326,put-down,1,milk:soy,43,9,put-down milk:soy
4328,4407,close,3,fridge,10,8,close fridge
4578,4623,open,2,drawer,9,21,open drawer
4700,4761,take,0,spoon,7,22,take spoon
4767,4827,close,3,drawer,9,23,close drawer
4910,4956,put-down,1,spoon,7,24,put-down spoon
5000,5053,open,2,cupboard,8,0,open cupboard
5114,5243,take,0,cereal,96,25,take cereal
5264,5367,close,3,cupboard,8,1,close cupboard
5541,5700,put-down,1,cereal,96,26,put-down cereal
5700,5836,open,2,bag:cereal,20,27,open bag:cereal
5856,5922,extract,10,bag,20,28,extract bag
6006,6146,unfold,80,bag,20,29,unfold bag
6230,6531,pour,7,cereal,96,30,pour cereal
6459,6762,pour,7,cereal,96,30,pour cereal
6800,6879,put-down,1,bag,20,31,put-down bag
