StartFrame,EndFrame,Verb,Verb_class,Noun,Noun_class,ActionLabel,ActionName
6,182,take,0,cup,23,0,take cup
172,306,put-down,1,cup,23,1,put-down cup
369,406,take,0,bag:cereal,20,2,take bag:cereal
435,615,fold,46,bag:cereal,20,3,fold bag:cereal
621,846,put,1,bag:cereal,20,4,put bag:cereal
852,1032,close,3,box:cereal,39,5,close box:cereal
1134,1209,open,2,cupboard,8,6,open cupboard
1180,1362,put-down,1,box:cereal,39,7,put-down box:cereal
1366,1456,close,3,cupboard,8,8,close cupboard
1544,1840,take,0,tablecloth,153,9,take tablecloth
1845,2102,fold,46,tablecloth,153,10,fold tablecloth
2239,2328,pull-down,0,tablecloth,153,9,pull-down tablecloth
2481,2527,take-up,0,liquid,71,11,take-up liquid
2530,2668,pour-up,7,liquid,71,12,pour-up liquid
2716,2808,open,2,tap,3,13,open tap
2814,3144,wash,4,cup,23,14,wash cup
3150,3369,rinse,4,spoon,7,15,rinse spoon
3439,3760,rinse,4,cup,23,14,rinse cup
3738,3779,turn,13,tap,3,16,turn tap
3810,4032,pull-down,0,cup,23,0,pull-down cup
4119,4278,rinse,4,sink,33,17,rinse sink
4157,4307,rinse,4,hand,12,18,rinse hand
4284,4324,close,3,tap,3,19,close tap
4461,4766,dry,11,hand,12,20,dry hand
4787,4922,take,0,bottle,28,21,take bottle
4928,5108,open,2,bottle,28,22,open bottle
5122,5167,take,0,glass,16,23,take glass
5180,5436,pour,7,water,17,24,pour water
5464,5916,drink,58,water,17,25,drink water
5874,6021,put-down,1,bottle,28,26,put-down bottle
5937,6036,put-down,1,glass,16,27,put-down glass
6029,6119,take,0,container,29,28,take container
